;;;;;;;;;;;;
Arrecada� do IPVA por Regi�e Munic�o -  2017;;;;;;;;;;;;
Regi�/ Munic�o;Janeiro;Fevereiro;Mar�Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
ITAPERUNA; 5.638.414,89 ; 3.237.364,17 ; 2.504.222,47 ; 1.386.074,87 ; 660.843,22 ; 527.680,73 ; 494.956,04 ; 491.139,42 ; 332.238,05 ; 239.356,25 ; 178.887,62 ; 252.369,13 
LAJE DO MURIAE; 187.795,84 ; 108.555,89 ; 93.646,15 ; 53.292,19 ; 22.558,93 ; 18.833,76 ; 15.113,33 ; 10.574,04 ; 5.478,96 ; 7.095,00 ; 4.489,63 ; 6.007,18 
MIRACEMA; 1.162.966,55 ; 709.263,27 ; 513.312,01 ; 289.162,07 ; 139.249,69 ; 97.256,44 ; 91.077,36 ; 79.167,30 ; 82.578,98 ; 40.797,46 ; 46.407,29 ; 51.188,29 
NATIVIDADE; 665.740,33 ; 315.986,21 ; 299.190,86 ; 130.303,25 ; 54.136,10 ; 37.077,26 ; 42.019,24 ; 49.220,54 ; 15.710,35 ; 29.246,97 ; 17.623,53 ; 29.000,04 
PORCIUNCULA; 542.971,45 ; 281.418,51 ; 224.776,43 ; 104.078,94 ; 63.964,44 ; 48.782,87 ; 29.256,49 ; 34.591,88 ; 20.475,14 ; 20.761,90 ; 10.248,83 ; 20.265,02 
SANTO ANTONIO DE PADUA; 2.248.538,16 ; 1.195.461,03 ; 941.179,34 ; 537.343,41 ; 215.168,94 ; 185.025,69 ; 184.138,25 ; 182.065,72 ; 135.791,29 ; 103.250,02 ; 78.804,28 ; 83.330,77 
SAO JOSE DE UBA; 309.595,02 ; 186.435,14 ; 109.802,15 ; 55.410,40 ; 28.356,27 ; 30.212,32 ; 26.619,31 ; 21.525,23 ; 19.820,53 ; 15.782,09 ; 6.683,73 ; 7.679,76 
VARRE SAI; 289.643,12 ; 135.382,50 ; 82.401,48 ; 62.705,17 ; 29.902,30 ; 19.101,61 ; 13.399,80 ; 18.235,33 ; 12.323,38 ; 10.533,74 ; 5.383,53 ; 4.565,43 
NORTE; 43.934.070,22 ; 27.121.839,11 ; 21.811.075,14 ; 12.484.452,87 ; 6.491.586,75 ; 5.556.529,64 ; 4.636.933,11 ; 4.793.410,64 ; 3.752.287,33 ; 2.769.364,58 ; 1.958.584,20 ; 2.637.655,32 
CAMPOS DOS GOYTACAZES; 19.345.019,17 ; 12.278.072,03 ; 9.692.857,94 ; 5.856.528,19 ; 3.363.431,97 ; 2.869.520,65 ; 2.434.349,49 ; 2.754.582,60 ; 2.164.664,38 ; 1.596.781,16 ; 1.263.442,93 ; 1.792.833,35 
